3.0 50.6 100.0
3.0 100.6 100.0
3.0 301.6 100.0
3.0 501.6 30.0
3.0 400.6 50.0
3.0 203.6 20.0
3.0 260.2 30.0
3.0 350.0 40.0
13.0 550.6 96.0
13.0 600.6 69.0
13.0 701.6 35.0
13.0 801.6 76.0
13.0 900.6 67.0
13.0 1003.6 47.0
13.0 1260.2 57.0
13.0 1350.0 93.0
33.0 550.6 38.0
33.0 600.6 27.0
33.0 701.6 83.0
33.0 801.6 26.0
33.0 900.6 38.0
33.0 1003.6 73.0
33.0 1260.2 24.0
33.0 1350.0 15.0
13.0 50.6 60.0
13.0 100.6 10.0
13.0 301.6 40.0
13.0 501.6 30.0
13.0 400.6 50.0
13.0 203.6 80.0
13.0 260.2 30.0
13.0 350.0 20.0
63.0 550.6 18.0
63.0 600.6 20.0
63.0 701.6 30.0
63.0 801.6 40.0
63.0 900.6 50.0
63.0 1003.6 60.0
63.0 1260.2 70.0
63.0 1350.0 80.0
33.0 50.6 25.0
33.0 100.6 18.0
33.0 301.6 20.0
33.0 501.6 57.0
33.0 400.6 24.0
33.0 203.6 23.0
33.0 260.2 34.0
33.0 350.0 19.0
63.0 50.6 25.0
63.0 100.6 30.0
63.0 301.6 40.0
63.0 501.6 50.0
63.0 400.6 60.0
63.0 203.6 25.0
63.0 260.2 35.0
63.0 350.0 45.0
3.0 550.6 55.0
3.0 600.6 23.0
3.0 701.6 43.0
3.0 801.6 57.0
3.0 900.6 56.0
3.0 1003.6 34.0
3.0 1260.2 43.0
3.0 1350.0 23.0
3.0 50.6 100.0
3.0 100.6 100.0
3.0 301.6 100.0
3.0 501.6 30.0
3.0 400.6 50.0
3.0 203.6 20.0
3.0 260.2 30.0
3.0 350.0 40.0
13.0 50.6 60.0
13.0 100.6 10.0
13.0 301.6 40.0
13.0 501.6 30.0
13.0 400.6 50.0
13.0 203.6 80.0
13.0 260.2 30.0
13.0 350.0 20.0
33.0 50.6 25.0
33.0 100.6 18.0
33.0 301.6 20.0
33.0 501.6 57.0
33.0 400.6 24.0
33.0 203.6 23.0
33.0 260.2 34.0
33.0 350.0 19.0
63.0 50.6 25.0
63.0 100.6 30.0
63.0 301.6 40.0
63.0 501.6 50.0
63.0 400.6 60.0
63.0 203.6 25.0
63.0 260.2 35.0
63.0 350.0 45.0
3.0 550.6 55.0
3.0 600.6 23.0
3.0 701.6 43.0
3.0 801.6 57.0
3.0 900.6 56.0
3.0 1003.6 34.0
3.0 1260.2 43.0
3.0 1350.0 23.0
13.0 550.6 96.0
13.0 600.6 69.0
13.0 701.6 35.0
13.0 801.6 76.0
13.0 900.6 67.0
13.0 1003.6 47.0
13.0 1260.2 57.0
13.0 1350.0 93.0
33.0 550.6 38.0
33.0 600.6 27.0
33.0 701.6 83.0
33.0 801.6 26.0
33.0 900.6 38.0
33.0 1003.6 73.0
33.0 1260.2 24.0
33.0 1350.0 15.0
63.0 550.6 18.0
63.0 600.6 20.0
63.0 701.6 30.0
63.0 801.6 40.0
63.0 900.6 50.0
63.0 1003.6 60.0
63.0 1260.2 70.0
63.0 1350.0 80.0
3.0 50.6 100.0
3.0 100.6 100.0
3.0 301.6 100.0
3.0 501.6 30.0
3.0 400.6 50.0
3.0 203.6 20.0
3.0 260.2 30.0
3.0 350.0 40.0
13.0 50.6 60.0
13.0 100.6 10.0
13.0 301.6 40.0
13.0 501.6 30.0
13.0 400.6 50.0
13.0 203.6 80.0
13.0 260.2 30.0
13.0 350.0 20.0
33.0 50.6 25.0
33.0 100.6 18.0
33.0 301.6 20.0
33.0 501.6 57.0
33.0 400.6 24.0
33.0 203.6 23.0
33.0 260.2 34.0
33.0 350.0 19.0
63.0 50.6 25.0
63.0 100.6 30.0
63.0 301.6 40.0
63.0 501.6 50.0
63.0 400.6 60.0
63.0 203.6 25.0
63.0 260.2 35.0
63.0 350.0 45.0
3.0 550.6 55.0
3.0 600.6 23.0
3.0 701.6 43.0
3.0 801.6 57.0
3.0 900.6 56.0
3.0 1003.6 34.0
3.0 1260.2 43.0
3.0 1350.0 23.0
13.0 550.6 96.0
13.0 600.6 69.0
13.0 701.6 35.0
13.0 801.6 76.0
13.0 900.6 67.0
13.0 1003.6 47.0
13.0 1260.2 57.0
13.0 1350.0 93.0
33.0 550.6 38.0
33.0 600.6 27.0
33.0 701.6 83.0
33.0 801.6 26.0
33.0 900.6 38.0
33.0 1003.6 73.0
33.0 1260.2 24.0
33.0 1350.0 15.0
63.0 550.6 18.0
63.0 600.6 20.0
63.0 701.6 30.0
63.0 801.6 40.0
63.0 900.6 50.0
63.0 1003.6 60.0
63.0 1260.2 70.0
63.0 1350.0 80.0
